"User ID","First Name","Last Name","Employee ID","Date","In","Out","Short","OT","LeaveType","Work code","Day type"
"2","Franklin","Moris","1-00001","01/01/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","01/01/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","01/01/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","01/01/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","01/01/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","01/01/2026","13:00","17:00","","","None","","Workday"
"8","Roberto","Lim","1-00007","01/01/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","01/01/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","01/01/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","01/01/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","02/01/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","02/01/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","02/01/2026","13:00","17:00","","","None","","Workday"
"5","Elena","Santos","1-00004","02/01/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","02/01/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","02/01/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","02/01/2026","08:17","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","02/01/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","02/01/2026","13:00","17:00","","","None","","Workday"
"11","Patricia","Ng","1-00010","02/01/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","03/01/2026","","","","","None","","Restday"
"3","Gwen Atasha","Lumagbas","1-00002","03/01/2026","","","","","None","","Restday"
"4","Maron","Javier","1-00003","03/01/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","03/01/2026","","","","","None","","Restday"
"6","Miguel","Reyes","1-00005","03/01/2026","","","","","None","","Restday"
"7","Ana","Cruz","1-00006","03/01/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","03/01/2026","","","","","None","","Restday"
"9","Maria","Gonzales","1-00008","03/01/2026","","","","","None","","Restday"
"10","James","Villanueva","1-00009","03/01/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","03/01/2026","","","","","None","","Restday"
"2","Franklin","Moris","1-00001","04/01/2026","","","","","None","","Restday"
"3","Gwen Atasha","Lumagbas","1-00002","04/01/2026","","","","","None","","Restday"
"4","Maron","Javier","1-00003","04/01/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","04/01/2026","","","","","None","","Restday"
"6","Miguel","Reyes","1-00005","04/01/2026","","","","","None","","Restday"
"7","Ana","Cruz","1-00006","04/01/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","04/01/2026","","","","","None","","Restday"
"9","Maria","Gonzales","1-00008","04/01/2026","","","","","None","","Restday"
"10","James","Villanueva","1-00009","04/01/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","04/01/2026","","","","","None","","Restday"
"2","Franklin","Moris","1-00001","05/01/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","05/01/2026","08:17","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","05/01/2026","13:00","17:00","","","None","","Workday"
"5","Elena","Santos","1-00004","05/01/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","05/01/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","05/01/2026","","","","","None","","Restday"
"8","Roberto","Lim","1-00007","05/01/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","05/01/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","05/01/2026","13:00","17:00","","","None","","Workday"
"11","Patricia","Ng","1-00010","05/01/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","06/01/2026","08:00","17:00","","","None","","Workday"
"3","Gwen Atasha","Lumagbas","1-00002","06/01/2026","08:00","17:00","","","None","","Workday"
"4","Maron","Javier","1-00003","06/01/2026","","","","","None","","Restday"
"5","Elena","Santos","1-00004","06/01/2026","08:30","17:30","","","None","","Workday"
"6","Miguel","Reyes","1-00005","06/01/2026","08:00","17:00","","","None","","Workday"
"7","Ana","Cruz","1-00006","06/01/2026","13:00","17:00","","","None","","Workday"
"8","Roberto","Lim","1-00007","06/01/2026","08:00","17:00","","","None","","Workday"
"9","Maria","Gonzales","1-00008","06/01/2026","09:00","18:00","","","None","","Workday"
"10","James","Villanueva","1-00009","06/01/2026","","","","","None","","Restday"
"11","Patricia","Ng","1-00010","06/01/2026","08:00","17:00","","","None","","Workday"
"2","Franklin","Moris","1-00001","07/01/2026","08:00","17:00","","","None","","Workday"
